\cite{Zakharova}
Total Kinetic Energy (MeV) : Energy (MeV) : Mass Number (A) : Average Neutron Multiplicity : error 
  160.       162.5      151.5       3.3             3.
  160.       162.5      153.        3.9             3.
  160.       162.5      154.5       4.1             3.
  160.       162.5      156.        4.1             3.
  160.       162.5      157.5       3.9             3.
  160.       162.5      159.        3.5             4.
  160.       162.5      160.5       3.3             5.
  160.       162.5      162.        4.0             5.
  160.       162.5      163.5       3.5             6.
  160.       162.5      165.        3.2             8.
  160.       162.5      166.5       4.2             8.
  160.       162.5      168.        4.3            11.
  160.       162.5      169.5       6.3            17.

  170.       172.5       78.        0.8            33.
  170.       172.5       79.5       0.5            27.
  170.       172.5       81.        0.2            26.
  170.       172.5       82.5       0.2            23.
  170.       172.5       84.        1.0            10.
  170.       172.5       85.5       0.9             8.
  170.       172.5       87.        0.9             6.
  170.       172.5       88.5       1.              5.
  170.       172.5       90.        1.1             4.
  170.       172.5       91.5       1.1             4.
  170.       172.5       93.        1.1             3.
  170.       172.5       94.5       1.2             3.
  170.       172.5       96.        1.3             2.
  170.       172.5       97.5       1.3             2.
  170.       172.5       99.        1.6             2.
  170.       172.5      100.5       1.7             2.
  170.       172.5      102.        2.0             2.
  170.       172.5      103.5       2.2             2.
  170.       172.5      105.        2.3             2.
  170.       172.5      106.5       2.3             2.
  170.       172.5      108.        2.7            2.
  170.       172.5      109.5       3.0            2.
  170.       172.5      111.        3.3            2.
  170.       172.5      112.5       3.9            2.
  170.       172.5      114.        4.1            2.
  170.       172.5      115.5       4.3            2.
  170.       172.5      117.        4.4            3.
  170.       172.5      118.5       4.9            3.
  170.       172.5      120.        5.5            4.
  170.       172.5      121.5       5.1            4.
  170.       172.5      123.        4.4            5.
  170.       172.5      124.5       2.2            5.
  170.       172.5      126.        2.0            5.
  170.       172.5      127.5       1.4            5.
  170.       172.5      129.        1.4            5.
  170.       172.5      130.5       1.3            4.
  170.       172.5      132.        1.2            3.
  170.       172.5      133.5       1.5            3.
  170.       172.5      135.        1.6            2.
  170.       172.5      136.5       1.6            2.
  170.       172.5      138.        1.6            2.
  170.       172.5      139.5       1.8            2.
  170.       172.5      141.        1.8            2.
  170.       172.5      142.5       1.8            2.
  170.       172.5      144.        2.0            2.
  170.       172.5      145.5       2.2            2.
  170.       172.5      147.        2.4            2.
  170.       172.5      148.5       2.6            2.
  170.       172.5      150.        2.7            2.
  170.       172.5      151.5       2.8            2.
  170.       172.5      153.        2.9            2.
  170.       172.5      154.5       2.7            2.
  170.       172.5      156.        2.8            3.
  170.       172.5      157.5       2.7            3.
  170.       172.5      159.        2.7            4.
  170.       172.5      160.5       2.7            5.
  170.       172.5      162.        2.7            6.
  170.       172.5      163.5       2.6            8.
  170.       172.5      165.        2.4           11.
  170.       172.5      166.5       2.1           16.
  170.       172.5      168.        2.6           22.

  180.       182.5       85.5       0.
  180.       182.5       87.        0.7        18.
  180.       182.5       88.5       0.8        11.
  180.       182.5       90.        0.8         8.
  180.       182.5       91.5       0.8         6.
  180.       182.5       93.        0.9         5.
  180.       182.5       94.5       0.7         4.
  180.       182.5       96.        0.8         3.
  180.       182.5       97.5       0.9         3.
  180.       182.5       99.        1.0         2.
  180.       182.5      100.5       1.0         2.
  180.       182.5      102.        1.1         2.
  180.       182.5      103.5       1.4         1.
  180.       182.5      105.        1.8         1.
  180.       182.5      106.5       2.1         1.
  180.       182.5      108.        2.2         1.
  180.       182.5      109.5       2.4         1.
  180.       182.5      111.        2.6         1.
  180.       182.5      112.5       2.8         1.
  180.       182.5      114.        3.0         2.
  180.       182.5      115.5       3.1         2.
  180.       182.5      117.        3.3         2.
  180.       182.5      118.5       4.0         2.
  180.       182.5      120.        4.6         3.
  180.       182.5      121.5       4.9         3.
  180.       182.5      123.        5.2         4.
  180.       182.5      124.5       1.7         4.
  180.       182.5      126.        1.2         5.
  180.       182.5      127.5       0.9         4.
  180.       182.5      129.        0.6         4.
  180.       182.5      130.5       0.8        3.
  180.       182.5      132.        1.0        3.
  180.       182.5      133.5       1.1        2.
  180.       182.5      135.        1.3        2.
  180.       182.5      136.5       1.3        2.
  180.       182.5      138.        1.3        2.
  180.       182.5      139.5       1.3        1.
  180.       182.5      141.        1.5        1.
  180.       182.5      142.5       1.5        1.
  180.       182.5      144.        1.6        1.
  180.       182.5      145.5       1.8        1.
  180.       182.5      147.        1.8        1.
  180.       182.5      148.5       1.9        2.
  180.       182.5      150.        1.9        2.
  180.       182.5      151.5       2.0        2.
  180.       182.5      153.        1.9        3.
  180.       182.5      154.5       2.0        3.
  180.       182.5      156.        1.8        4.
  180.       182.5      157.5       1.5        6.
  180.       182.5      159.        1.6        8.
