\cite{gook}
Mass (A):  TKE (MeV): Average Neutron Multiplicity :	 Uncertainty
103.       151.        3.76827    0.544713
103.       153.        2.56782    0.323921
103.       155.        3.22139    0.283907
103.       157.        2.75625    0.196263
103.       159.        2.93795    0.165491
103.       161.        2.75185    0.127977
103.       163.        2.83191    0.108103
103.       165.        2.56354    0.084294
103.       167.        2.49641    0.0734828
103.       169.        2.46129    0.0643
103.       171.        2.19664    0.0520745
103.       173.        2.09682    0.0459992
103.       175.        1.80599    0.0381322
103.       177.        1.71063    0.0345202
103.       179.        1.53691    0.0315069
103.       181.        1.36401    0.0284681
103.       183.        1.22061    0.0270691
103.       185.        1.07838    0.0265723
103.       187.        0.942598   0.0263497
103.       189.        0.811509   0.0265093
103.       191.        0.593727   0.0257629
103.       193.        0.505806   0.0283873
103.       195.        0.391326   0.0296645
103.       197.        0.313396   0.0350811
103.       199.        0.11708    0.0281469
103.       201.        0.0528608  0.0264903
104.       145.        3.50041    1.54657
104.       147.        3.05904    1.09791
104.       149.        2.68319    0.648022
104.       151.        2.89273    0.516789
104.       153.        2.93436    0.380833
104.       155.        3.28949    0.291328
104.       157.        3.07694    0.223254
104.       159.        3.22682    0.184656
104.       161.        2.77686    0.134433
104.       163.        2.89527    0.115277
104.       165.        2.79415    0.0928512
104.       167.        2.52404    0.0741775
104.       169.        2.43769    0.0629184
104.       171.        2.39159    0.0543783
104.       173.        2.12867    0.0450301
104.       175.        2.14331    0.0419107
104.       177.        1.91312    0.0354786
104.       179.        1.70914    0.0315838
104.       181.        1.53614    0.028671
104.       183.        1.38081    0.0264254
104.       185.        1.24949    0.0257458
104.       187.        1.09808    0.0252706
104.       189.        0.927546   0.0249132
104.       191.        0.798267   0.0258803
104.       193.        0.637136   0.0270941
104.       195.        0.486753   0.0278907
104.       197.        0.286278   0.0268223
104.       199.        0.157781   0.0256073
104.       201.        0.13013    0.033985
104.       203.        0.0561581  0.0324993
105.       147.        3.18581    1.09769
105.       149.        3.18067    0.843288
105.       151.        4.16342    0.63475
105.       153.        3.3806     0.419557
105.       155.        3.37342    0.337072
105.       157.        3.17507    0.248321
105.       159.        3.05717    0.181706
105.       161.        3.20824    0.155184
105.       163.        2.95969    0.120199
105.       165.        2.97693    0.100853
