# Pre-equilibrium particle emission
# num energy points =  105
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
   12.9000   0.3907183E+00   0.0000000E+00   0.3899477E+00   0.7705782E-03   0.0000000E+00   0.1442415E+00   0.2850366E-03
   13.1000   0.3978326E+00   0.0000000E+00   0.3969304E+00   0.9022673E-03   0.0000000E+00   0.1470161E+00   0.3341841E-03
   13.3000   0.4049225E+00   0.0000000E+00   0.4038722E+00   0.1050273E-02   0.0000000E+00   0.1497763E+00   0.3894943E-03
   13.5000   0.4119802E+00   0.0000000E+00   0.4107646E+00   0.1215560E-02   0.0000000E+00   0.1525216E+00   0.4513515E-03
   13.7000   0.4189452E+00   0.0000000E+00   0.4175464E+00   0.1398863E-02   0.0000000E+00   0.1552516E+00   0.5201235E-03
   13.9000   0.4258145E+00   0.0000000E+00   0.4242135E+00   0.1600958E-02   0.0000000E+00   0.1579657E+00   0.5961535E-03
   14.1000   0.4325981E+00   0.0000000E+00   0.4307755E+00   0.1822585E-02   0.0000000E+00   0.1606634E+00   0.6797571E-03
   14.3000   0.4394863E+00   0.0000000E+00   0.4374210E+00   0.2065238E-02   0.0000000E+00   0.1633444E+00   0.7712138E-03
   14.5000   0.4463607E+00   0.0000000E+00   0.4440316E+00   0.2329095E-02   0.0000000E+00   0.1660083E+00   0.8707692E-03
   14.7000   0.4532275E+00   0.0000000E+00   0.4506127E+00   0.2614721E-02   0.0000000E+00   0.1686547E+00   0.9786340E-03
   14.9000   0.4600941E+00   0.0000000E+00   0.4571715E+00   0.2922615E-02   0.0000000E+00   0.1712833E+00   0.1094983E-02
   15.1000   0.4669800E+00   0.0000000E+00   0.4637267E+00   0.3253308E-02   0.0000000E+00   0.1738938E+00   0.1219964E-02
   15.3000   0.4739731E+00   0.0000000E+00   0.4703652E+00   0.3607882E-02   0.0000000E+00   0.1764860E+00   0.1353716E-02
   15.5000   0.4810224E+00   0.0000000E+00   0.4770359E+00   0.3986418E-02   0.0000000E+00   0.1790597E+00   0.1496338E-02
   15.7000   0.4881371E+00   0.0000000E+00   0.4837477E+00   0.4389338E-02   0.0000000E+00   0.1816149E+00   0.1647903E-02
   15.9000   0.4953272E+00   0.0000000E+00   0.4905101E+00   0.4817041E-02   0.0000000E+00   0.1841513E+00   0.1808453E-02
   16.1000   0.5026035E+00   0.0000000E+00   0.4973335E+00   0.5269954E-02   0.0000000E+00   0.1866690E+00   0.1978022E-02
   16.3000   0.5099203E+00   0.0000000E+00   0.5041723E+00   0.5747944E-02   0.0000000E+00   0.1891678E+00   0.2156655E-02
   16.5000   0.5172978E+00   0.0000000E+00   0.5110463E+00   0.6251468E-02   0.0000000E+00   0.1916478E+00   0.2344366E-02
   16.7000   0.5247473E+00   0.0000000E+00   0.5179664E+00   0.6780893E-02   0.0000000E+00   0.1941089E+00   0.2541153E-02
   16.9000   0.5322725E+00   0.0000000E+00   0.5249360E+00   0.7336492E-02   0.0000000E+00   0.1965513E+00   0.2746996E-02
   17.1000   0.5398772E+00   0.0000000E+00   0.5319587E+00   0.7918520E-02   0.0000000E+00   0.1989750E+00   0.2961860E-02
   17.3000   0.5475382E+00   0.0000000E+00   0.5390113E+00   0.8526920E-02   0.0000000E+00   0.2013800E+00   0.3185743E-02
   17.5000   0.5551276E+00   0.0000000E+00   0.5459678E+00   0.9159765E-02   0.0000000E+00   0.2037665E+00   0.3418614E-02
   17.7000   0.5627285E+00   0.0000000E+00   0.5529102E+00   0.9818304E-02   0.0000000E+00   0.2061345E+00   0.3660435E-02
   17.9000   0.5703343E+00   0.0000000E+00   0.5598319E+00   0.1050242E-01   0.0000000E+00   0.2084842E+00   0.3911154E-02
   18.1000   0.5779384E+00   0.0000000E+00   0.5667265E+00   0.1121194E-01   0.0000000E+00   0.2108157E+00   0.4170711E-02
